fecha,cedula,nombre,apellido,edad,correo,tipo de vehiculo,Marca,anno,Coste del servicio,Cantidad cobrada al cliente,Remuneracion total
04/13/2022,78252542,Andrea,Tirado,27,Andrea.Tirado@gmail.com,Motocicleta,Yamaha,2000,72980,87576,14596
02/13/2022,27296468,Nissim,Kirby,43,Nissim.Kirby@gmail.com,Automovil,Audi,1994,70520,84624,14104
04/20/2022,25692334,Francesca,Recio,22,Francesca.Recio@gmail.com,Automovil,Mercedes Benz,1963,198352,238022,39670
04/26/2022,76558784,Sonya,Hickman,20,Sonya.Hickman@gmail.com,Motocicleta,BMW,2013,116084,139301,23217
03/18/2022,63495229,Emilia,Escobar,32,Emilia.Escobar@gmail.com,Motocicleta,Harley davidson,2005,99477,119372,19895
03/18/2022,98836723,Malika,Badia,41,Malika.Badia@gmail.com,Automovil,Hyundai,2003,96564,115877,19313
03/23/2022,36449937,Maitane,Reyes,51,Maitane.Reyes@gmail.com,Motocicleta,Freedom,2003,87714,105257,17543
02/24/2022,53755957,Esmeralda,Manzano,19,Esmeralda.Manzano@gmail.com,Camion,Mitsubishi,2017,84211,101053,16842
02/22/2022,57386234,Emilia,Roldan,23,Emilia.Roldan@gmail.com,Automovil,Audi,2010,80258,96310,16052
2/2/2022,44342594,Victor,Pizarro,35,Victor.Pizarro@gmail.com,Motocicleta,Yamaha,2016,80006,96007,16001
01/22/2022,24474744,Maialen,Simon,54,Maialen.Simon@gmail.com,Motocicleta,Yamaha,2016,61500,73800,12300
02/26/2022,62435852,Amanda,Lara,26,Amanda.Lara@gmail.com,Automovil,Hyundai,2010,55419,66503,11084
04/21/2022,25589838,Olga,Palacio,48,Olga.Palacio@gmail.com,Motocicleta,Yamaha,2003,54910,65892,10982
02/28/2022,75579322,Eva,Bermudez,20,Eva.Bermudez@gmail.com,Automovil,Volkswagen,2016,54791,65749,10958
03/22/2022,55934625,Lidia,Postigo,35,Lidia.Postigo@gmail.com,Motocicleta,Freedom,2006,54354,65225,10871
01/29/2022,65398434,Alex,Baez,41,Alex.Baez@gmail.com,Automovil,Toyota,1954,46567,55880,9313
03/19/2022,83272773,Edgar,Gascon,46,Edgar.Gascon@gmail.com,Automovil,Mercedes Benz,1996,35678,42814,7136
02/21/2022,79389655,Maribel,Olmedo,53,Maribel.Olmedo@gmail.com,Automovil,Mercedes Benz,2016,34811,41773,6962
02/21/2022,36432423,Abel,Grande,23,Abel.Grande@gmail.com,Motocicleta,Freedom,2010,32905,39486,6581
